Column1,DEF,FWD,GK,MID,element_type,now_cost,team,total_points,Arsenal,Aston Villa,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Leeds,Leicester,Liverpool,Man City,Man Utd,Newcastle,Norwich,Southampton,Spurs,Watford,West Ham,Wolves,Starting 11
Dejan Kulusevski,0,0,0,1,MID,63,Spurs,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Demarai Gray,0,0,0,1,MID,54,Everton,106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dennis Praet,0,0,0,1,MID,49,Leicester,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Diego Llorente,1,0,0,0,DEF,45,Leeds,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Dilan Markanday,0,0,0,1,MID,45,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Dimitris Giannoulis,1,0,0,0,DEF,44,Norwich,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Diogo Jota,0,0,0,1,MID,83,Liverpool,175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Dion Sanderson,1,0,0,0,DEF,40,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Divock Origi,0,1,0,0,FWD,48,Liverpool,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Domingos Quina,0,0,0,1,MID,45,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0
Dominic Calvert-Lewin,0,1,0,0,FWD,77,Everton,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dominic Thompson,1,0,0,0,DEF,44,Brentford,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Donny van de Beek,0,0,0,1,MID,57,Everton,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Douglas Luiz Soares de Paulo,0,0,0,1,MID,43,Aston Villa,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dwight Gayle,0,1,0,0,FWD,52,Newcastle,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Dwight McNeil,0,0,0,1,MID,55,Burnley,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dynel Simeu,1,0,0,0,DEF,40,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0
Eberechi Eze,0,0,0,1,MID,59,Crystal Palace,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ed Turns,1,0,0,0,DEF,40,Brighton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ederson Santana de Moraes,0,0,1,0,GK,62,Man City,155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Edinson Cavani,0,1,0,0,FWD,84,Man Utd,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Edo Kayembe,0,0,0,1,MID,45,Watford,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Edouard Mendy,0,0,1,0,GK,61,Chelsea,130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Edward Nketiah,0,1,0,0,FWD,57,Arsenal,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Eldin Jakupovic,0,0,1,0,GK,39,Leicester,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Ellery Balcombe,0,0,1,0,GK,40,Brentford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Elliot Anderson,0,0,0,1,MID,45,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0
Ellis Simms,0,1,0,0,FWD,45,Everton,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Emerson Aparecido Leite de Souza Junior,1,0,0,0,DEF,46,Spurs,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Emerson Palmieri dos Santos,1,0,0,0,DEF,45,Chelsea,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Emil Krafth,1,0,0,0,DEF,43,Newcastle,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Emile Smith Rowe,0,0,0,1,MID,57,Arsenal,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Emiliano Buendía Stati,0,0,0,1,MID,61,Aston Villa,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Emiliano Martínez,0,0,1,0,GK,55,Aston Villa,129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Emmanuel Dennis,0,1,0,0,FWD,58,Watford,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Enock Mwepu,0,0,0,1,MID,59,Brighton,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Eric Bailly,1,0,0,0,DEF,49,Man Utd,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Eric Dier,1,0,0,0,DEF,47,Spurs,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Erik Lamela,0,0,0,1,MID,60,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Erik Pieters,1,0,0,0,DEF,41,Burnley,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ethan Ampadu,1,0,0,0,DEF,45,Chelsea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ethan Pinnock,1,0,0,0,DEF,44,Brentford,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Evan Ferguson,0,1,0,0,FWD,45,Brighton,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ezri Konsa Ngoyo,1,0,0,0,DEF,49,Aston Villa,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Fabian Delph,0,0,0,1,MID,42,Everton,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Fabian Schär,1,0,0,0,DEF,41,Newcastle,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Fabio Henrique Tavares,0,0,0,1,MID,54,Liverpool,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Fabio Silva,0,1,0,0,FWD,56,Wolves,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Federico Fernández,1,0,0,0,DEF,43,Newcastle,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Fernando Luiz Rosa,0,0,0,1,MID,47,Man City,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Fernando Marçal,1,0,0,0,DEF,42,Wolves,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ferran Torres,0,0,0,1,MID,67,Man City,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Filip Marschall,0,0,1,0,GK,40,Aston Villa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Finley Stevens,1,0,0,0,DEF,39,Brentford,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Florin Andone,0,1,0,0,FWD,50,Brighton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Folarin Balogun,0,1,0,0,FWD,47,Arsenal,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Francisco Casilla Cortés,0,0,1,0,GK,45,Leeds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Francisco Femenía Far,1,0,0,0,DEF,43,Watford,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Francisco Jorge Tomás Oliveira,0,0,0,1,MID,55,Wolves,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Francisco Machado Mota de Castro Trincão,0,0,0,1,MID,56,Wolves,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Francisco Sierralta,1,0,0,0,DEF,43,Watford,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Frank Onyeka,0,0,0,1,MID,49,Brentford,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Fraser Forster,0,0,1,0,GK,44,Southampton,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Freddie Woodman,0,0,1,0,GK,43,Newcastle,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Frederico Rodrigues de Paula Santos,0,0,0,1,MID,49,Man Utd,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Frederik Alves,1,0,0,0,DEF,40,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Frédéric Guilbert,1,0,0,0,DEF,45,Aston Villa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Gabriel Fernando de Jesus,0,1,0,0,FWD,86,Man City,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Gabriel Magalhães,1,0,0,0,DEF,53,Arsenal,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Gabriel Teodoro Martinelli Silva,0,0,0,1,MID,53,Arsenal,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Giovani Lo Celso,0,0,0,1,MID,59,Spurs,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Granit Xhaka,0,0,0,1,MID,48,Arsenal,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Grant Hanley,1,0,0,0,DEF,44,Norwich,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Gylfi Sigurdsson,0,0,0,1,MID,67,Everton,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Hakim Ziyech,0,0,0,1,MID,73,Chelsea,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Halil Dervişoğlu,0,1,0,0,FWD,54,Brentford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Hamza Choudhury,0,0,0,1,MID,44,Leicester,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Hannibal Mejbri,0,0,0,1,MID,45,Man Utd,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0
Harrison Ashby,1,0,0,0,DEF,40,West Ham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Harry Kane,0,1,0,0,FWD,125,Spurs,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
Harry Lewis,0,0,1,0,GK,39,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Harry Maguire,1,0,0,0,DEF,54,Man Utd,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Harry Tyrer,0,0,1,0,GK,40,Everton,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Harry Winks,0,0,0,1,MID,44,Spurs,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Harvey Barnes,0,0,0,1,MID,65,Leicester,137,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Harvey Elliott,0,0,0,1,MID,53,Liverpool,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Harvey Vale,0,0,0,1,MID,45,Chelsea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Harvey White,0,0,0,1,MID,44,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Hassane Kamara,1,0,0,0,DEF,45,Watford,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Haydon Roberts,1,0,0,0,DEF,39,Brighton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Hee-Chan Hwang,0,1,0,0,FWD,54,Wolves,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Heung-Min Son,0,0,0,1,MID,112,Spurs,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
Hugo Bueno,1,0,0,0,DEF,40,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
Hugo Lloris,0,0,1,0,GK,55,Spurs,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
Héctor Bellerín,1,0,0,0,DEF,48,Arsenal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Héctor Junior Firpo Adames,1,0,0,0,DEF,47,Leeds,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Hélder Wander Sousa de Azevedo e Costa,0,0,0,1,MID,54,Leeds,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Ian Carlo Poveda-Ocampo,0,0,0,1,MID,45,Leeds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Ibrahima Diallo,0,0,0,1,MID,45,Southampton,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Ibrahima Konaté,1,0,0,0,DEF,51,Liverpool,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Ilkay Gündogan,0,0,0,1,MID,71,Man City,124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Illan Meslier,0,0,1,0,GK,48,Leeds,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Imrân Louza,0,0,0,1,MID,52,Watford,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Isaac Hayden,0,0,0,1,MID,45,Newcastle,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Isaac Price,0,0,0,1,MID,45,Everton,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Isaac Success Ajayi,0,1,0,0,FWD,50,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Ismaila Sarr,0,0,0,1,MID,57,Watford,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Issa Diop,1,0,0,0,DEF,42,West Ham,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Ivan Toney,0,1,0,0,FWD,69,Brentford,139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jack Butland,0,0,1,0,GK,44,Crystal Palace,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jack Cork,0,0,0,1,MID,44,Burnley,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jack Grealish,0,0,0,1,MID,75,Man City,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Jack Grieves,0,1,0,0,FWD,45,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Jack Harrison,0,0,0,1,MID,55,Leeds,117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Jack Jenkins,0,0,0,1,MID,45,Leeds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0
Jack Stephens,1,0,0,0,DEF,44,Southampton,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Jacob Murphy,0,0,0,1,MID,46,Newcastle,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Jacob Ramsey,0,0,0,1,MID,47,Aston Villa,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jacob Sørensen,1,0,0,0,DEF,43,Norwich,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Jaden Philogene-Bidace,0,0,0,1,MID,50,Aston Villa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jadon Sancho,0,0,0,1,MID,89,Man Utd,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Jairo Riedewald,0,0,0,1,MID,47,Crystal Palace,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jakub Moder,0,0,0,1,MID,45,Brighton,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jamaal Lascelles,1,0,0,0,DEF,44,Newcastle,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Jamal Baptiste,1,0,0,0,DEF,39,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0
Jamal Lewis,1,0,0,0,DEF,42,Newcastle,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
James Justin,1,0,0,0,DEF,49,Leicester,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
James Maddison,0,0,0,1,MID,69,Leicester,181,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
James McArthur,0,0,0,1,MID,43,Crystal Palace,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
James McAtee,0,0,0,1,MID,44,Man City,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
James Milner,0,0,0,1,MID,49,Liverpool,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
James Morris,1,0,0,0,DEF,40,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0
James Rodríguez,0,0,0,1,MID,69,Everton,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
James Storer,0,0,1,0,GK,40,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
James Tarkowski,1,0,0,0,DEF,49,Burnley,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
James Tomkins,1,0,0,0,DEF,43,Crystal Palace,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
James Ward-Prowse,0,0,0,1,MID,64,Southampton,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Jamie Bowden,0,0,0,1,MID,45,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0
Jamie Shackleton,0,0,0,1,MID,44,Leeds,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Jamie Vardy,0,1,0,0,FWD,103,Leicester,133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Jan Bednarek,1,0,0,0,DEF,44,Southampton,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Jan Zamburek,0,0,0,1,MID,44,Brentford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jannik Vestergaard,1,0,0,0,DEF,47,Leicester,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Japhet Tanganga,1,0,0,0,DEF,42,Spurs,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Jarell Quansah,1,0,0,0,DEF,40,Liverpool,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0
Jarosław Jach,1,0,0,0,DEF,42,Crystal Palace,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jarrad Branthwaite,1,0,0,0,DEF,40,Everton,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jarrod Bowen,0,0,0,1,MID,69,West Ham,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
Jason Steele,0,0,1,0,GK,39,Brighton,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Javier Manquillo,1,0,0,0,DEF,39,Newcastle,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Jay Rodriguez,0,1,0,0,FWD,51,Burnley,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jean-Philippe Gbamin,0,0,0,1,MID,44,Everton,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jean-Philippe Mateta,0,1,0,0,FWD,53,Crystal Palace,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jed Steer,0,0,1,0,GK,39,Aston Villa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jeff Hendrick,0,0,0,1,MID,48,Newcastle,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Jeffrey Schlupp,0,0,0,1,MID,54,Crystal Palace,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jeremy Ngakia,1,0,0,0,DEF,42,Watford,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Jeremy Sarmiento,0,0,0,1,MID,45,Brighton,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jesse Lingard,0,0,0,1,MID,67,Man Utd,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Jesurun Rak-Sakyi,0,0,0,1,MID,44,Crystal Palace,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Joachim Andersen,1,0,0,0,DEF,47,Crystal Palace,124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Joe Gelhardt,0,1,0,0,FWD,47,Leeds,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Joe Hart,0,0,1,0,GK,45,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Joe Rodon,1,0,0,0,DEF,42,Spurs,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Joe White,0,0,0,1,MID,44,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0
Joel Matip,1,0,0,0,DEF,53,Liverpool,170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Joel Ward,1,0,0,0,DEF,45,Crystal Palace,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Joelinton Cássio Apolinário de Lira,0,1,0,0,FWD,59,Newcastle,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Johann Berg Gudmundsson,0,0,0,1,MID,54,Burnley,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
John McGinn,0,0,0,1,MID,56,Aston Villa,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
John Ruddy,0,0,1,0,GK,43,Wolves,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
John Stones,1,0,0,0,DEF,52,Man City,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Jon McCracken,0,0,1,0,GK,40,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Jonas Lössl,0,0,1,0,GK,45,Brentford,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jonathan Castro Otto,1,0,0,0,DEF,45,Wolves,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Jonathan Rowe,0,0,0,1,MID,44,Norwich,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Jonathan Tomkinson,1,0,0,0,DEF,40,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Jonjo Shelvey,0,0,0,1,MID,53,Newcastle,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Jonjoe Kenny,1,0,0,0,DEF,43,Everton,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jonny Evans,1,0,0,0,DEF,54,Leicester,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Jordan Ayew,0,1,0,0,FWD,58,Crystal Palace,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jordan Henderson,0,0,0,1,MID,49,Liverpool,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Jordan Hugill,0,1,0,0,FWD,54,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Jordan Pickford,0,0,1,0,GK,48,Everton,116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jorge Luiz Frello Filho,0,0,0,1,MID,57,Chelsea,106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
